City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,fortuna,US,2022-05-25 17:39:42,40.5982,-124.1573,290.89,82,20,3.09
1,saint-philippe,RE,2022-05-25 17:39:42,-21.3585,55.7679,294.92,77,22,2.49
2,jamestown,US,2022-05-25 17:38:10,42.097,-79.2353,296.49,59,0,5.14
3,mataura,NZ,2022-05-25 17:39:43,-46.1927,168.8643,277.3,98,29,0.66
4,mar del plata,AR,2022-05-25 17:39:44,-38.0023,-57.5575,286.53,73,75,5.66
5,hithadhoo,MV,2022-05-25 17:39:45,-0.6,73.0833,302.02,65,39,2.28
6,ilulissat,GL,2022-05-25 17:39:46,69.2167,-51.1,276.16,44,75,5.14
7,mount gambier,AU,2022-05-25 17:39:46,-37.8333,140.7667,287.1,94,100,4.12
8,victoria,HK,2022-05-25 17:36:30,22.2855,114.1577,299.44,92,69,1.79
9,georgetown,MY,2022-05-25 17:36:31,5.4112,100.3354,301.11,83,20,1.54
10,yar-sale,RU,2022-05-25 17:39:49,66.8333,70.8333,275.44,76,72,4.91
11,butaritari,KI,2022-05-25 17:39:49,3.0707,172.7902,300.63,77,89,8.68
12,plettenberg bay,ZA,2022-05-25 17:39:50,-34.0527,23.3716,289.4,81,81,3.71
13,henties bay,NA,2022-05-25 17:39:50,-22.116,14.2845,288.72,78,2,4.11
14,broken hill,AU,2022-05-25 17:39:51,-31.95,141.4333,287.54,74,48,2.57
15,faanui,PF,2022-05-25 17:39:52,-16.4833,-151.75,299.99,68,6,7.31
16,rikitea,PF,2022-05-25 17:39:53,-23.1203,-134.9692,297.02,76,15,2.87
17,kapaa,US,2022-05-25 17:39:53,22.0752,-159.319,295.33,88,20,5.66
18,itarema,BR,2022-05-25 17:39:54,-2.9248,-39.9167,301.19,75,16,3.9
19,provideniya,RU,2022-05-25 17:39:55,64.3833,-173.3,278.56,66,42,2.44
20,souillac,MU,2022-05-25 17:39:56,-20.5167,57.5167,296.36,78,20,2.57
21,heihe,CN,2022-05-25 17:39:57,50.2441,127.4902,281.47,57,99,0.94
22,arraial do cabo,BR,2022-05-25 17:39:57,-22.9661,-42.0278,299.13,57,0,6.17
23,shenzhen,CN,2022-05-25 17:39:58,22.5455,114.0683,300.07,96,65,1.6
24,gao,ML,2022-05-25 17:39:59,16.6362,1.637,308.85,19,66,5.24
25,cherskiy,RU,2022-05-25 17:39:59,68.75,161.3,275.92,87,74,5.66
26,new norfolk,AU,2022-05-25 17:40:00,-42.7826,147.0587,283.1,88,10,1.41
27,kenai,US,2022-05-25 17:35:18,60.5544,-151.2583,281.2,86,75,4.63
28,bluff,NZ,2022-05-25 17:40:01,-46.6,168.3333,277.48,65,36,2.48
29,cap-aux-meules,CA,2022-05-25 17:40:02,47.3821,-61.8597,286.18,38,0,5.66
30,ribeira grande,PT,2022-05-25 17:40:03,38.5167,-28.7,292.37,77,75,4.63
31,chuy,UY,2022-05-25 17:40:04,-33.6971,-53.4616,288.36,98,100,3.43
32,chokurdakh,RU,2022-05-25 17:40:04,70.6333,147.9167,271.06,95,99,3.68
33,port elizabeth,ZA,2022-05-25 17:36:30,-33.918,25.5701,291.54,77,0,8.75
34,honiara,SB,2022-05-25 17:40:05,-9.4333,159.95,298.18,88,31,1.66
35,waipawa,NZ,2022-05-25 17:40:06,-41.4122,175.5153,280.45,78,100,4.49
36,talcahuano,CL,2022-05-25 17:40:07,-36.7167,-73.1167,285.97,58,0,6.17
37,tautira,PF,2022-05-25 17:40:07,-17.7333,-149.15,299.1,73,2,5.53
38,salmo,CA,2022-05-25 17:40:08,49.1999,-117.2689,286.53,86,100,1.31
39,avera,US,2022-05-25 17:40:09,33.194,-82.5271,300.88,51,93,4.82
40,albany,US,2022-05-25 17:37:04,42.6001,-73.9662,296.72,51,95,2.25
41,ushuaia,AR,2022-05-25 17:40:10,-54.8,-68.3,279.94,75,40,18.52
42,bengkulu,ID,2022-05-25 17:40:10,-3.8004,102.2655,296.65,89,100,1.75
43,molochnoye,RU,2022-05-25 17:40:12,59.2917,39.6787,277.54,78,71,2.41
44,moose factory,CA,2022-05-25 17:40:13,51.2585,-80.6094,280.15,70,100,4.63
45,nikolskoye,RU,2022-05-25 17:40:14,59.7035,30.7861,288.09,62,88,2.23
46,tura,IN,2022-05-25 17:41:14,25.5198,90.2201,295.55,95,47,1.62
47,hermanus,ZA,2022-05-25 17:41:15,-34.4187,19.2345,288.6,91,79,2.6
48,lima,PE,2022-05-25 17:37:56,-12.0432,-77.0282,290.29,72,75,4.12
49,puerto ayora,EC,2022-05-25 17:41:16,-0.7393,-90.3518,298.13,77,67,5.24
50,port alfred,ZA,2022-05-25 17:41:17,-33.5906,26.891,288.81,84,0,1.79
51,cabo san lucas,MX,2022-05-25 17:39:15,22.8909,-109.9124,302.38,68,0,1.79
52,helong,CN,2022-05-25 17:41:18,42.5397,128.9972,283.31,97,100,0.94
53,san juan,AR,2022-05-25 17:40:39,-31.5375,-68.5364,286.7,56,60,8.81
54,bomet,KE,2022-05-25 17:41:20,-0.7813,35.3416,287.08,99,99,0.62
